"Table 1. Average Annual Family Income, by Per Capita Income Decile Class and by Region, Province and HUCs: 2018, 2021 and 2023p",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region/Province/HUC,2018,,,,,,,,,,,2021,,,,,,,,,,,2023,,,,,,,,,,,Percent Change (2018 to 2021),,,,,,,,,,,Percent Change (2021 to 2023),,,,,,,,,,
,(In thousands),,,,,,,,,,,(In thousands),,,,,,,,,,,(In thousands),,,,,,,,,,,(In percent),,,,,,,,,,,(In percent),,,,,,,,,,
,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHILIPPINES,313.45,113.58,144.45,168.16,197.33,225.1,262.6,308.34,370.83,475.95,867.63,307.19,116.02,152.14,175.86,202.66,227.68,261.78,302.94,361.62,457.16,813.91,353.23,143.28,182.61,208.43,241.18,272.09,308.69,351.73,416.23,512.54,895.47,-2,2.2,5.3,4.6,2.7,1.2,-0.3,-1.8,-2.5,-4,-6.2,15,23.5,20,18.5,19,19.5,17.9,16.1,15.1,12.1,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION I - ILOCOS REGION,286.98,136.68,171.24,185.85,209.81,205.77,246.83,267,309.56,411.67,725.39,304.84,128.17,173.66,187.94,208.87,227.94,247.11,272.91,332.31,446.23,822.95,339.69,159.3,194.88,226.31,242.57,275.07,301.9,326.41,381.61,451.68,836.82,6.2,-6.2,1.4,1.1,-0.5,10.8,0.1,2.2,7.4,8.4,13.5,11.4,24.3,12.2,20.4,16.1,20.7,22.2,19.6,14.8,1.2,1.7
Ilocos Norte,330.63,159.3,189.87,218.56,241.3,256.58,264.3,319.94,371.86,448.96,834.51,364.8,200.06,255.25,262.14,260.92,286.23,324.15,337.15,370.59,458.79,890.26,447.86,304.32,348.45,359.41,388.56,400.86,411.23,456.62,441.13,483.98,881.75,10.3,25.6,34.4,19.9,8.1,11.6,22.7,5.4,-0.3,2.2,6.7,22.8,52.1,36.5,37.1,48.9,40.1,26.9,35.4,19,5.5,-1
Ilocos Sur,289.92,124.03,155.58,170.06,198.9,214.16,242.69,279.47,317.67,422.15,775.35,317.51,125.81,162.14,182.03,196.32,228.43,255.69,287.26,373.19,485.67,877.49,355.63,169.86,215.81,244.55,250.3,278.13,311.49,352.6,382.05,475.93,871.85,9.5,1.4,4.2,7,-1.3,6.7,5.4,2.8,17.5,15.1,13.2,12,35,33.1,34.3,27.5,21.8,21.8,22.8,2.4,-2,-0.6
La Union,334.7,144.75,172.55,205.02,226.4,246.1,279.33,313.24,340.84,508.64,910.51,326.65,134.14,172.74,197.88,203.38,227.79,272.25,296.27,376.63,522.22,860.85,393.32,162.58,207.22,238.58,254.82,286.02,341.18,383.27,445.3,568.23,1042.93,-2.4,-7.3,0.1,-3.5,-10.2,-7.4,-2.5,-5.4,10.5,2.7,-5.5,20.4,21.2,20,20.6,25.3,25.6,25.3,29.4,18.2,8.8,21.2
Pangasinan,264.48,137.5,168.87,190.23,196.59,198.98,221.97,256.11,265.47,372.16,637.14,283.9,123.19,159.76,184.16,195.27,209.43,236.65,257.95,278.15,389.07,802.71,299.75,150.63,194.35,194.35,232.41,234.34,272.33,278.27,308.59,402.26,729.24,7.3,-10.4,-5.4,-3.2,-0.7,5.3,6.6,0.7,4.8,4.5,26,5.6,22.3,21.7,5.5,19,11.9,15.1,7.9,10.9,3.4,-9.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION II - CAGAYAN VALLEY,265.03,103.55,135.3,153.63,171,195.43,206.95,246,293.52,370.28,774.89,290.12,118.43,150.27,171.3,185.6,203.52,223.05,252.98,299.43,410.53,885.44,310.55,156.78,194.68,207.73,224.46,242.52,264.85,289.73,344.28,421.77,757.95,9.5,14.4,11.1,11.5,8.5,4.1,7.8,2.8,2,10.9,14.3,7,32.4,29.6,21.3,20.9,19.2,18.7,14.5,15,2.7,-14.4
Batanes,373,165.57,211.5,218.89,243.39,250.79,294.49,346.22,400.79,540.68,1058.45,455.96,180.4,257.8,282.61,247.16,342.58,422.51,474.16,493.01,749.16,1104.4,434.32,180.96,240.53,306.64,297.17,318.27,368.93,398.08,475.82,643.78,1103.96,22.2,9,21.9,29.1,1.6,36.6,43.5,37,23,38.6,4.3,-4.8,0.3,-6.7,8.5,20.2,-7.1,-12.7,-16.1,-3.5,-14.1,0
Cagayan,281.03,104.82,132.99,162.56,177.83,206.9,224.61,270.55,325.29,411.18,794.81,290.35,128.7,153.91,170.04,206.52,207.86,219.89,251.75,320.39,423.75,817.94,330.5,153.16,196.51,219.21,223.59,247.06,282.57,295.29,356.27,438.33,891.46,3.3,22.8,15.7,4.6,16.1,0.5,-2.1,-7,-1.5,3.1,2.9,13.8,19,27.7,28.9,8.3,18.9,28.5,17.3,11.2,3.4,9
Isabela,239.15,99,135.72,144.65,157.36,183.09,191.57,211.75,258.13,319.76,690.84,291.33,109.62,140.15,169.53,173.18,200.69,218.49,243.49,284.78,394.61,976.32,299.46,162.05,198.66,205.25,226.76,241.97,258.02,286.72,334.95,422.19,656.73,21.8,10.7,3.3,17.2,10.1,9.6,14.1,15,10.3,23.4,41.3,2.8,47.8,41.8,21.1,30.9,20.6,18.1,17.8,17.6,7,-32.7
Nueva Vizcaya,300.09,114.42,144.89,163.5,189.58,230.38,227.89,273.17,329.56,435.4,892.22,269.16,118.5,154.94,167.78,186.85,196.85,218.33,255.13,303.01,368.97,719.92,295.27,159.98,181.24,192.21,219.53,236.46,250.51,293.72,323.34,367.68,727.31,-10.3,3.6,6.9,2.6,-1.4,-14.6,-4.2,-6.6,-8.1,-15.3,-19.3,9.7,35,17,14.6,17.5,20.1,14.7,15.1,6.7,-0.4,1
Quirino,282.06,115.32,141.37,157.51,172.24,200.62,204.57,231.28,274.43,349.86,972.24,317.4,143.13,167.65,187,218.42,238.29,244.52,270.07,345.91,442.02,914.1,311.14,151.53,172.06,192.18,196.22,245.97,240.91,275.54,347.93,426.99,859.56,12.5,24.1,18.6,18.7,26.8,18.8,19.5,16.8,26.1,26.3,-6,-2,5.9,2.6,2.8,-10.2,3.2,-1.5,2,0.6,-3.4,-6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION III - CENTRAL LUZON,333.97,146.19,194.03,219.85,245.9,269.36,306.38,330.57,378.35,457.95,791.36,328.54,151.55,195.69,224.81,237.8,269.82,302.18,330.04,378.32,451.59,743.16,375.24,199.85,250.64,283.39,306.96,328.16,358.54,392.69,428.82,491.51,711.54,-1.6,3.7,0.9,2.3,-3.3,0.2,-1.4,-0.2,0,-1.4,-6.1,14.2,31.9,28.1,26.1,29.1,21.6,18.7,19,13.4,8.8,-4.3
